,SCHOOL NAME,CITY,COUNTY,ZIP,SCHOOL TYPE,ENROLLED,% IMMUNE MMR
898,GILBERT ELEMENTARY SCHOOL,GILBERT,MARICOPA,85233.0,PUBLIC,94,0.9
899,GREAT HEARTS ACADEMIES - ARCHWAY CLASSICAL ACADEMY TRIVIUM EAST,GOODYEAR,MARICOPA,,CHARTER,94,0.93
900,MERIDIAN ELEMENTARY,MESA,MARICOPA,85212.0,PUBLIC,94,0.96
901,ROADRUNNER ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85051.0,PUBLIC,94,1.0
902,SADDLEBACK ELEMENTARY SCHOOL,MARICOPA,PINAL,85138.0,PUBLIC,94,0.95
903,T DALE HANCOCK ELEMENTARY,CHANDLER,MARICOPA,85286.0,PUBLIC,94,0.99
904,TARTESSO ELEMENTARY SCHOOL,BUCKEYE,MARICOPA,85322.0,PUBLIC,94,0.9
905,WEINBERG ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85298.0,PUBLIC,94,0.94
906,WHITMAN ELEMENTARY SCHOOL,MESA,MARICOPA,85201.0,PUBLIC,94,0.93
907,TUSCANO ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85043.0,PUBLIC,94,1.0
908,AMERICAN LEADERSHIP ACADEMY - SAN TAN,QUEEN CREEK,MARICOPA,85142.0,CHARTER,95,0.9
909,BASIS GOODYEAR,GOODYEAR,MARICOPA,85338.0,CHARTER,95,0.96
910,BASIS GOODYEAR PRIMARY,GOODYEAR,MARICOPA,85338.0,CHARTER,95,0.96
911,BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,GILBERT,MARICOPA,85296.0,CHARTER,95,0.91
912,C E ROSE ELEMENTARY SCHOOL,TUCSON,PIMA,85714.0,PUBLIC,95,0.99
913,CONSTITUTION ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85023.0,PUBLIC,95,0.94
914,CURRY ELEMENTARY SCHOOL,TEMPE,MARICOPA,85282.0,PUBLIC,95,0.94
915,FOUR PEAKS ELEMENTARY SCHOOL,APACHE JUNCTION,PINAL,85219.0,PUBLIC,95,0.96
916,HIGHLAND LAKES SCHOOL,GLENDALE,MARICOPA,85308.0,PUBLIC,95,0.96
917,IMAGINE CHARTER ELEMENTARY SCHOOL AT EAST,MESA,MARICOPA,85209.0,CHARTER,95,0.93
918,LAS BRISAS ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85310.0,PUBLIC,95,0.92
919,LAS SENDAS ELEMENTARY SCHOOL,MESA,MARICOPA,85207.0,PUBLIC,95,0.97
920,LINEWEAVER ELEMENTARY SCHOOL,TUCSON,PIMA,85711.0,PUBLIC,95,0.93
921,STETSON HILLS ELEMENTARY,GLENDALE,MARICOPA,85083.0,PUBLIC,95,0.95
922,SUN CANYON ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85043.0,PUBLIC,95,1.0
923,SUNRISE ELEMENTARY,BULLHEAD CITY,MOHAVE,86429.0,PUBLIC,95,0.95
924,SUNSET HILLS ELEMENTARY,SURPRISE,MARICOPA,85388.0,PUBLIC,95,0.93
925,SYNERGY PUBLIC SCHOOL,PHOENIX,MARICOPA,85017.0,CHARTER,95,0.93
926,TAVAN ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85018.0,PUBLIC,95,0.97
927,CHEATHAM ELEMENTARY SCHOOL,LAVEEN,MARICOPA,85339.0,PUBLIC,96,0.94
928,CORDOVA ELEMENTARY SCHOOL,PHOENIX,MARICOPA,85017.0,PUBLIC,96,0.95
929,ESTRELLA VISTA ELEMENTARY,AVONDALE,MARICOPA,85323.0,PUBLIC,96,0.94
930,JOHN E WHITE ELEMENTARY SCHOOL,TUCSON,PIMA,85746.0,PUBLIC,96,0.99
931,MANUEL DEMIGUEL ELEMENTARY SCHOOL,FLAGSTAFF,COCONINO,86005.0,PUBLIC,96,0.96
932,MIRAGE ELEMENTARY SCHOOL,GLENDALE,MARICOPA,85308.0,PUBLIC,96,0.98
933,PALMCROFT ELEMENTARY SCHOOL,YUMA,YUMA,85364.0,PUBLIC,96,0.97
934,POMEROY ELEMENTARY SCHOOL,CHANDLER,MARICOPA,85224.0,PUBLIC,96,0.91
